ProgramId,Owner,ProgramDataAddress,Authority,LastDeployedInSlot,DataLength,Balance
8ykSWtaqZK5V27dtLZrfrevRwMpJGKT7Vu9skaskgibc,BPFLoaderUpgradeab1e11111111111111111111111,FcSSz8VR57kuc91ZPeMgt2Tqtb53BwQTzqQB22gDLWwf,GxxWP8ZsDyGupCKPPNqGRVfUXissSBj989Get5fSxDeX,104107725,862128 (0xd27b0) bytes,6.00161496 SOL
DgUj4FuTYjFVTK6yT73MuGNS3wV3FPXa4Kp3Mqw87a77,BPFLoaderUpgradeab1e11111111111111111111111,C2wXspYRG8XzBqhiLaWzgXp2RJFeX5FuN7gSkQD2pAEx,ArWUa2JMaszzsLtFXqKNFETuNuZfxT1wxzWLRhL2spbv,97066315,470000 (0x72bf0) bytes,3.27240408 SOL

6Rn54KYaHLrqsmVr7Q9CE6MLSftRX3jdp6Cr3FcDmnVJ,BPFLoaderUpgradeab1e11111111111111111111111,3ayzZYNQ6RpFVPyrQvh3Z85Ed2aaJyRMjvt5jmWw3QbZ,69LqUnv5rVBLv7Usf4k68SSiCQn934AeK6zR62YcWgDj,103566366,968416 (0xec6e0) bytes,6.74137944 SOL

27haf8L6oxUeXrHrgEgsexjSY5hbVUWEmvv9Nyxg8vQv,BPFLoaderUpgradeab1e11111111111111111111111,D9Kh6CzoNb2gj7EDsP7fNZpbhLq8r9LoLgambqPKoF4z,UpAuc9FHwjtssLfQSuiCDahnmtUTBHf6eWTkRubh5ty,100332436,1223818 (0x12ac8a) bytes,8.51897736 SOL
3HiXNtAFFoSTtkP52EoFbf8r3aobaeLhMbeGdEWEh8V3,BPFLoaderUpgradeab1e11111111111111111111111,5NY99dqML5EP7HbAwyYnWjU3Gxf1YizTdovBzC4WWgYC,3p5S1hauUdZkVC7WYhARxR7wqz2B3t1Y6EqMSTq4uAKC,106380767,3000000 (0x2dc6c0) bytes,20.88120408 SOL
3gGzsUWivP4LSm4WwNSs5DTiTeoUiqLjFriwfLKQpt3A,BPFLoaderUpgradeab1e11111111111111111111111,AywddWfpa5pbqHw3oWCwarpymWzWPqogop6ng7u5Duvb,Gccb74Zg6B8kiaPrXfsU7MVMAnj2o5DEjYeb22SGFBG9,95420662,400000 (0x61a80) bytes,2.78520408 SOL
3Hu41z11ksZadri2rrUtvnjbv9E3xnihxBgpWKcmPdTU,BPFLoaderUpgradeab1e11111111111111111111111,BafGsFEDAQGeHS37RSBFSerbM7hHM2PqUxKCJ2vb4hmy,44fVncfVm5fB8VsRBwVZW75FdR1nSVUKcf9nUa4ky6qN,100863102,762256 (0xba190) bytes,5.30650584 SOL

